SampleID,ichorCNA
ZMB001D,0.01589
ZMB002C,0.0
ZMB003D,0.006024
ZMB007D,0.006342
ZMB009B,0.05323
ZMB012D,0.01358
ZMB013D,0.009096
ZMB014D,0.01207
ZMB017D,0.01083
ZMB018D,0.0
ZMB022D,0.0
ZMB026B,0.0
ZMB030B,0.01167
ZMB033D,0.01421
ZMB034D,0.006272
ZMB036C,0.008881
ZMB037B,0.006836
ZMB038C,0.009738
ZMB040D,0.007363
ZMB042D,0.01367
ZMB043B,0.0147
ZMB044C,0.01305
ZMB047D,0.01455
ZMB048D,0.009454
ZMB051C,0.006103
ZMB052D,0.01561
ZMB053C,0.01133
ZMB054C,0.01058
ZMB055D,0.006061
ZMB056B,0.01486
ZMB058D,0.007635
ZMB060B,0.01096
ZMB062D,0.01026
ZMB063B,0.008245
ZMB068D,0.009964
ZMB069B,0.006036
ZMB070C,0.01087
ZMB072D,0.0
ZMB076D,0.008044
ZMB077D,0.01009
ZMB080D,0.00734
ZMB082B,0.009263
ZMB083B,0.01155
ZMB084B,0.01931
ZMB086C,0.01095
ZMB088C,0.005934
ZMB095D,0.0118
ZMB099B,0.004597
ZMB102D,0.01148
ZMB104D,0.005631
ZMB110D,0.01335
ZMB116D,0.005095
ZMB117D,0.005902
ZMB118D,0.0
ZMB123D,0.009477
ZMB124D,0.01165
ZMB125D,0.0102
ZMB133D,0.009937
ZMB134D,0.0
ZMB138D,0.007801
ZMB139D,0.008059
ZMB146D,0.00994
ZMB149D,0.008068
ZMB164C,0.006287
ZMB183D,0.005365
ZMB201C,0.01123
ZMB203D,0.008261
ZMB207B,0.005386
ZMB208D,0.01051
ZMB210C,0.0125
ZMB215D,0.005673
ZMB035D,0.007171
ZMB045D,0.01125
ZMB089D,0.008979
ZMB092D,0.007927
ZMB214D,0.00698
ZMB154D,0.01004
ZMB155D,0.00928
ZMB161D,0.006426
ZMB163D,0.01601
QCAC53,0.01011
ZMB170D,0.0112
MUAAAA03,0.007463
ZMB208B,0.01065
ZMB208C,0.005376
ZMC001C,0.01065
ZMC002D,0.008654
ZMC005D,0.01476
ZMC009D,0.005913
ZMC016C,0.008455
ZMC021C,0.01244
ZMC035C,0.009765
ZMC036B,0.005392
ZMC038D,0.01077
ZMC042B,0.006457
ZMC043B,0.0058
ZMC044B,0.005687
ZMC045B,0.005653
ZMC050C,0.008365
ZMC054B,0.009427
ZMC057C,0.01391
ZMC070B,0.00929
ZMC075C,0.01241
ZMC079D,0.008816
ZMC082C,0.006413
ZMC086D,0.008045
ZMC088C,0.01025
ZMC101D,0.01156
ZMC107D,0.00898
ZMC119B,0.004692
ZMC123D,0.009597
ZMC301I,0.006148
UCAA79,0.009745
ZMC113D,0.01023
ZMC114D,0.01218
ZMC116D,0.0
ZMC117D,0.005935
ZMC125D,0.01174
ZMC088B,0.01452
ZMG025B,0.009318
ZMG025C,0.005789
ZMG045B,0.01143
ZMG045C,0.008761
ZMG047B,0.007609
ZMG047C,0.005511
ZMG060B,0.00774
ZMG060C,0.01243
ZMG060D,0.01025
ZMG064B,0.0
ZMG064C,0.0153
ZMG064D,0.01044
ZMG066B,0.01428
ZMG066C,0.0119
ZMG070B,0.00841
ZMG070C,0.009194
ZMG082B,0.01416
ZMG082C,0.0109
ZMG096B,0.00557
ZMG096C1,0.008288
ZMG096D,0.007345
ZMG109B,0.01291
ZMG109C,0.007487
ZMG111B,0.01105
ZMG111C,0.008089
ZMG125C,0.0
ZMG125D,0.009225
